40  151 9.4 10.2 1.5 0.02 0.01
-0.492185  -0.491745  -0.491307  -0.49087  -0.490435  -0.490001  -0.489568  -0.489137  -0.488708  -0.488279  -0.487852  -0.487427  -0.487003  -0.48658  -0.486159  -0.485739  -0.48532  -0.484903  -0.484487  -0.484073  -0.48366  -0.483248  -0.482837  -0.482428  -0.48202  -0.481614  -0.481208  -0.480804  -0.480401  -0.48  -0.63977  -0.63954  -0.639312  -0.639084  -0.638857  -0.638631  -0.638406  -0.638182  -0.637958  -0.637735  
-0.492186  -0.491746  -0.491308  -0.490871  -0.490436  -0.490002  -0.489569  -0.489138  -0.488709  -0.48828  -0.487853  -0.487428  -0.487004  -0.486581  -0.48616  -0.48574  -0.485321  -0.484904  -0.484488  -0.484074  -0.483661  -0.483249  -0.482838  -0.482429  -0.482021  -0.481614  -0.481209  -0.480805  -0.480402  -0.538901  -0.61669  -0.639541  -0.639313  -0.639085  -0.638858  -0.638632  -0.638407  -0.638182  -0.637959  -0.638058  
-0.492187  -0.491747  -0.491309  -0.490872  -0.490437  -0.490003  -0.48957  -0.489139  -0.48871  -0.488281  -0.487854  -0.487429  -0.487005  -0.486582  -0.486161  -0.485741  -0.485322  -0.484905  -0.484489  -0.484075  -0.483662  -0.48325  -0.482839  -0.48243  -0.482022  -0.481615  -0.48121  -0.480806  -0.501446  -0.558851  -0.614534  -0.636521  -0.639314  -0.639086  -0.638859  -0.638633  -0.638408  -0.638183  -0.638084  -0.638213  
-0.492188  -0.491748  -0.49131  -0.490873  -0.490438  -0.490004  -0.489571  -0.48914  -0.48871  -0.488282  -0.487855  -0.48743  -0.487006  -0.486583  -0.486162  -0.485742  -0.485323  -0.484906  -0.48449  -0.484076  -0.483662  -0.48325  -0.48284  -0.482431  -0.482023  -0.481616  -0.481211  -0.488238  -0.519019  -0.571092  -0.615246  -0.634764  -0.638924  -0.639087  -0.63886  -0.638634  -0.638409  -0.638232  -0.638205  -0.638305  
-0.492189  -0.491749  -0.491311  -0.490874  -0.490439  -0.490005  -0.489572  -0.489141  -0.488711  -0.488283  -0.487856  -0.487431  -0.487007  -0.486584  -0.486163  -0.485743  -0.485324  -0.484907  -0.484491  -0.484077  -0.483663  -0.483251  -0.482841  -0.482432  -0.482024  -0.481617  -0.483823  -0.49815  -0.5333  -0.580042  -0.616674  -0.633854  -0.638507  -0.639037  -0.638861  -0.638635  -0.638428  -0.638303  -0.638305  -0.638364  
-0.492189  -0.49175  -0.491312  -0.490875  -0.49044  -0.490006  -0.489573  -0.489142  -0.488712  -0.488284  -0.487857  -0.487432  -0.487008  -0.486585  -0.486164  -0.485744  -0.485325  -0.484908  -0.484492  -0.484077  -0.483664  -0.483252  -0.482842  -0.482433  -0.482025  -0.482533  -0.488605  -0.508562  -0.545153  -0.587104  -0.618284  -0.633441  -0.638167  -0.63896  -0.638855  -0.638643  -0.638465  -0.638378  -0.638386  -0.638406  
-0.49219  -0.491751  -0.491313  -0.490876  -0.490441  -0.490007  -0.489574  -0.489143  -0.488713  -0.488285  -0.487858  -0.487433  -0.487009  -0.486586  -0.486165  -0.485745  -0.485326  -0.484909  -0.484493  -0.484078  -0.483665  -0.483253  -0.482843  -0.482433  -0.482346  -0.484664  -0.494794  -0.518717  -0.55519  -0.592918  -0.619896  -0.633324  -0.637918  -0.638876  -0.638845  -0.63866  -0.638513  -0.63845  -0.63845  -0.638437  
-0.492191  -0.491752  -0.491314  -0.490877  -0.490442  -0.490008  -0.489575  -0.489144  -0.488714  -0.488286  -0.487859  -0.487434  -0.48701  -0.486587  -0.486165  -0.485746  -0.485327  -0.48491  -0.484494  -0.484079  -0.483666  -0.483254  -0.482844  -0.482546  -0.48325  -0.487942  -0.501793  -0.528323  -0.56382  -0.597832  -0.62144  -0.633385  -0.63775  -0.638799  -0.638837  -0.638686  -0.638566  -0.638517  -0.638503  -0.63846  
-0.492191  -0.491753  -0.491315  -0.490878  -0.490443  -0.490009  -0.489576  -0.489145  -0.488715  -0.488287  -0.48786  -0.487435  -0.48701  -0.486588  -0.486166  -0.485746  -0.485328  -0.484911  -0.484495  -0.48408  -0.483667  -0.483255  -0.482884  -0.482919  -0.484864  -0.492171  -0.509194  -0.537283  -0.571329  -0.602061  -0.622891  -0.633555  -0.637646  -0.638736  -0.638832  -0.638718  -0.638621  -0.638576  -0.638546  -0.638478  
-0.492192  -0.491754  -0.491316  -0.490879  -0.490444  -0.49001  -0.489577  -0.489146  -0.488716  -0.488288  -0.487861  -0.487436  -0.487011  -0.486589  -0.486167  -0.485747  -0.485329  -0.484912  -0.484496  -0.484081  -0.483668  -0.48327  -0.483034  -0.483673  -0.487203  -0.497132  -0.516722  -0.545577  -0.577923  -0.605746  -0.624239  -0.633789  -0.637594  -0.638691  -0.638834  -0.638754  -0.638674  -0.638628  -0.638581  -0.638493  
